Country Name,Number,Percentage of cause-specific deaths out of total deaths
United Arab Emirates,4564,44.06681471
Argentina,237827,63.2150423
Armenia,25733,71.14459497
Antigua and Barbuda,477,83.1010453
Australia,141596,87.78425294
Austria,74676,81.52490748
Bulgaria,105269,84.39411552
Bosnia and Herzegovina,32132,72.32538771
Brazil,954793,61.32954014
Switzerland,56481,74.12691121
Chile,90253,71.53341946
Colombia,195285,64.91043799
Costa Rica,19784,76.104016
Cuba,94835,84.3360101
Cyprus,5552,84.99693815
Czechia,103065,79.71675858
Germany,832849,84.50412552
Dominica,584,83.42857143
Denmark,43675,80.28640232
Ecuador,67002,58.00235465
Spain,374910,75.92714105
Estonia,13950,88.93280632
Finland,51373,92.56729972
United Kingdom of Great Britain and Northern Ireland,533284,77.4215091
Georgia,35076,69.4065734
Greece,101377,77.33743249
Grenada,856,83.02618817
Guatemala,54808,57.09107197
Croatia,49023,85.97057328
Iceland,1995,86.55097614
Israel,36891,75.60095908
Japan,1036847,75.53037505
Kazakhstan,119037,73.78341691
Republic of Korea,210485,69.02324331
Lebanon,10875,51.30442987
Saint Lucia,1032,81.0683425
Lithuania,36822,84.55691552
Luxembourg,3278,75.39098436
Latvia,25513,89.24061702
Mexico,680533,63.60371155
North Macedonia,17396,67.54416618
Mongolia,12564,78.90968471
Mauritius,9300,84.08679928
Malaysia,74151,67.93184004
Nicaragua,25745,76.43775422
Netherlands,123639,73.29882972
Oman,2679,25.45126354
Peru,104231,44.54373347
Poland,344398,72.14714416
Paraguay,23240,65.90477271
Qatar,1911,69.89758595
Singapore,15996,76.22587563
Serbia,89691,76.75738126
Slovenia,17823,74.21302465
Seychelles,509,76.19760479
Uruguay,24205,74.16429206
United States of America,2634041,77.844325
Saint Vincent and the Grenadines,819,79.43743938